step,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/beta,train/fitness_score,train/mean_episodic_Re3_reward,train/mean_evaluation_length,train/mean_evaluation_reward,train/real_mean_ep_len,train/explained_variance,train/is_line_search_success,train/kl_divergence_loss,train/learning_rate,train/policy_objective,train/std,train/value_loss
65536,498.57000732421875,-111.16172790527344,6620.0,2.0,-110.78662872314453,230.00453186035156,118.11000061035156,-92.0647964477539,393.2781982421875,-0.0005130767822265625,1.0,0.004175434820353985,0.0010000000474974513,0.009388439357280731,1.004049301147461,14.106586456298828
131072,476.7200012207031,-113.56275177001953,3609.0,1.9800000190734863,-102.51908874511719,348.9556884765625,1600.0,-10.903200149536133,252.94921875,0.8238410949707031,1.0,0.005706897005438805,0.0010000000474974513,0.01044866070151329,1.0051289796829224,10.427552223205566
196608,568.3300170898438,-109.54911804199219,3488.0,1.9601999521255493,-55.080509185791016,68.82662200927734,110.2699966430664,-96.52796173095703,1128.6207275390625,0.9137313365936279,1.0,0.005950459279119968,0.0010000000474974513,0.009561521001160145,0.9835959672927856,9.16466236114502
262144,808.25,-106.63450622558594,3182.0,1.9405980110168457,-99.62287902832031,187.17100524902344,1390.949951171875,-83.69830322265625,353.7225036621094,0.9429208040237427,1.0,0.005819059908390045,0.0010000000474974513,0.013273500837385654,0.9734598398208618,4.966421604156494
327680,1052.6500244140625,-103.73927307128906,2987.0,1.9211920499801636,-92.12438201904297,43.076297760009766,1259.0,-54.283294677734375,1346.388916015625,0.9269514679908752,1.0,0.004909527488052845,0.0010000000474974513,0.008824451826512814,0.9580662250518799,2.6147284507751465
393216,1158.699951171875,-100.34790802001953,2892.0,1.9019800424575806,-63.74924850463867,42.024986267089844,1600.0,-75.55965423583984,1313.7022705078125,0.8837670087814331,1.0,0.004689197055995464,0.0010000000474974513,0.00941413827240467,0.9544603824615479,2.5809314250946045
458752,1341.4000244140625,-94.10326385498047,2824.0,1.882960319519043,-78.53770446777344,34.035457611083984,1600.0,-57.66404342651367,1554.30908203125,0.9001690149307251,1.0,0.006124642677605152,0.0010000000474974513,0.009972523897886276,0.9469531178474426,1.768235445022583
524288,1419.050048828125,-88.88870239257812,2785.0,1.8641307353973389,-63.414878845214844,34.2239990234375,1600.0,-104.35144805908203,1554.509033203125,0.8972200155258179,1.0,0.004614465869963169,0.0010000000474974513,0.009454645216464996,0.9497528672218323,2.6130173206329346
589824,1404.0799560546875,-84.67056274414062,2755.0,1.8454893827438354,-98.61699676513672,34.87324905395508,1600.0,-84.45003509521484,1562.8231201171875,0.8671315908432007,1.0,0.004429940599948168,0.0010000000474974513,0.011417701840400696,0.9457849264144897,1.7146985530853271
655360,1358.0999755859375,-80.52970123291016,2727.0,1.8270344734191895,-83.49061584472656,36.967350006103516,1600.0,-83.1296615600586,1519.5621337890625,0.9206171631813049,1.0,0.004485865589231253,0.0010000000474974513,0.015010959468781948,0.9325782060623169,1.5442131757736206
720896,1343.0699462890625,-75.62491607666016,2711.0,1.808764100074768,-79.88582611083984,36.12644958496094,1600.0,-89.74527740478516,1545.3975830078125,0.9178569912910461,1.0,0.005409598350524902,0.0010000000474974513,0.010669928975403309,0.9274464845657349,1.410097360610962
786432,1298.3900146484375,-70.94735717773438,2693.0,1.790676474571228,-84.62394714355469,39.5145378112793,1600.0,-58.93071365356445,1502.631591796875,0.9299732446670532,1.0,0.004078812897205353,0.0010000000474974513,0.009839269332587719,0.9111102819442749,2.8972880840301514
851968,1372.3900146484375,-62.576866149902344,2671.0,1.7727696895599365,-56.82173538208008,37.13312530517578,228.11000061035156,-120.39844512939453,1590.1925048828125,0.8974520564079285,1.0,0.0057786013931035995,0.0010000000474974513,0.012174844741821289,0.8822442293167114,0.5208178162574768
917504,1432.9200439453125,-49.89393615722656,2660.0,1.7550420761108398,-108.81181335449219,123.43231201171875,1398.9200439453125,-15.312746047973633,487.2253112792969,0.8906125426292419,1.0,0.0056147947907447815,0.0010000000474974513,0.014768864959478378,0.857073187828064,0.41340288519859314
983040,1539.280029296875,-33.27157211303711,2651.0,1.7374916076660156,-15.420266151428223,44.94853210449219,1600.0,54.67729949951172,1376.422607421875,0.9411650896072388,1.0,0.00816251803189516,0.0010000000474974513,0.022263646125793457,0.8373261094093323,0.2426186054944992
1048576,1551.3499755859375,-14.54835319519043,2642.0,1.7201167345046997,45.134429931640625,39.04265594482422,1600.0,77.69972229003906,1597.675048828125,0.9478566646575928,1.0,0.0083510996773839,0.0010000000474974513,0.02068590372800827,0.8072605133056641,0.24322760105133057
1114112,1526.469970703125,2.8780384063720703,2635.0,1.7029155492782593,65.57325744628906,39.741058349609375,1600.0,88.26551055908203,1575.19140625,0.9311280250549316,1.0,0.0063685704953968525,0.0010000000474974513,0.011952009983360767,0.7923076152801514,0.7668226361274719
1179648,1515.6700439453125,21.703125,2627.0,1.6858863830566406,76.41197967529297,39.46938705444336,1600.0,89.69082641601562,1572.9202880859375,0.9240690469741821,1.0,0.006001748610287905,0.0010000000474974513,0.013691105879843235,0.7681971192359924,0.434592068195343
1245184,1529.47998046875,37.75025939941406,2621.0,1.66902756690979,83.45048522949219,38.901371002197266,1600.0,105.64287567138672,1599.3187255859375,0.8230445981025696,1.0,0.005742611829191446,0.0010000000474974513,0.013446475379168987,0.7545167207717896,0.49899742007255554
1310720,1515.31005859375,49.222232818603516,2614.0,1.6523371934890747,94.86992645263672,39.638973236083984,1600.0,108.95008850097656,1566.75927734375,0.8820633888244629,1.0,0.005635735113173723,0.0010000000474974513,0.011008044704794884,0.7372395992279053,1.236586093902588
1376256,1511.8800048828125,62.19518280029297,2608.0,1.63581383228302,102.27517700195312,38.95713806152344,1600.0,121.31111907958984,1579.391357421875,0.8892119526863098,1.0,0.006439852528274059,0.0010000000474974513,0.011763082817196846,0.7200194597244263,1.4279274940490723
1441792,1401.550048828125,62.971309661865234,2604.0,1.6194556951522827,103.60504150390625,40.70927810668945,1600.0,146.17213439941406,1511.372802734375,0.9124090075492859,1.0,0.00562309892848134,0.0010000000474974513,0.008935791440308094,0.7037464380264282,3.3051345348358154
1507328,1404.22998046875,70.62407684326172,2601.0,1.6032612323760986,134.02005004882812,37.536922454833984,1600.0,140.73143005371094,1581.154296875,0.8849888443946838,1.0,0.006151709705591202,0.0010000000474974513,0.012220717966556549,0.6897452473640442,1.5493626594543457
1572864,1488.02001953125,92.69904327392578,2598.0,1.587228536605835,134.50350952148438,37.232086181640625,1600.0,172.49301147460938,1586.6956787109375,0.905327558517456,1.0,0.0067281825467944145,0.0010000000474974513,0.012668206356465816,0.6762909889221191,1.1741763353347778
1638400,1519.93994140625,110.50675964355469,2595.0,1.5713562965393066,161.55430603027344,36.48838806152344,1600.0,222.19927978515625,1571.233154296875,0.9316807985305786,1.0,0.005858814809471369,0.0010000000474974513,0.01217791810631752,0.660493791103363,1.3484156131744385
1703936,1426.8900146484375,111.11669158935547,2594.0,1.5556427240371704,194.37095642089844,36.733787536621094,1600.0,244.9407196044922,1530.587890625,0.9428730010986328,1.0,0.006463841535151005,0.0010000000474974513,0.009538570418953896,0.6505855321884155,2.9509339332580566
1769472,1398.43994140625,116.71317291259766,2591.0,1.540086269378662,216.22532653808594,35.215614318847656,1600.0,243.8027801513672,1554.22705078125,0.9112321138381958,1.0,0.004998648073524237,0.0010000000474974513,0.008644239977002144,0.6392189264297485,3.3739945888519287
